id	code	name	rufname	rasse	geschlecht	geburtsdatum	gewicht_kg	groesse_cm	kunden_id	trainingsziele	notizen	felltyp	kastriert	fellfarbe	groesse_typ	herkunft	chip_nummer	created_at	updated_at	schema_version	version	status
019b6fbf-c2b8-78dd-a1e5-eb522078338b	DT-25	Maisha vom schwarzes Spitzohr	Maisha	Schipperke	W	2009-07-17	0.00	NULL	019b6f8b-fc48-7e9b-b129-e9525e8227d7				NULL			Hund				1	0	
019b6fbf-c2b8-78f4-bb68-23bf1e758196	DT-156	Devon	Devon	Hovawart	M	2010-03-07	0.00	NULL	019b6f8b-fc43-7340-b69f-e51642c2a1c5			langhaar	0	braun-schwarz		Hund				1	0	
019b6fbf-c2b8-793f-8975-8c503fa966b6	DT-107	Carlos	Carlos	Gordon Setter	M	2008-03-16	0.00	NULL	019b6f8b-fc48-7845-837d-d7a2b094c41a				NULL			Hund				1	0	
019b6fbf-c2b8-795d-a537-0550aed7a820	DT-138	Nandi		Schipperke	M	2010-11-01	0.00	NULL	019b6f8b-fc48-7e9b-b129-e9525e8227d7			kurzhaar	NULL			Hund				1	0	
019b6fbf-c2b8-796f-a778-734ff164dd07	DT-75	Sara		Labrador Mix	W	2007-04-20	0.00	NULL	019b6f8b-fc48-728f-897c-703cbf76cb95				NULL			Hund				1	0	
019b6fbf-c2b8-79cc-b9da-f4322bcd4bf3	DT-22	Wino vom Stägefässli	Wino	Zwergschnauzer	M	2009-04-01	0.00	NULL	019b6f8b-fc48-7b50-b14e-d33f2abdc0ef				NULL			Hund				1	0	
019b6fbf-c2b8-7a26-bb64-1645bbd31635	DT-141	Schneeball	Schneeball	Samojede	W	2011-05-20	0.00	NULL	019b6f8b-fc48-71b4-9377-f67a174a3d3b			langhaar	0	weiss		Hund	756097200149193			1	0	
019b6fbf-c2b8-7a33-ae6d-00068920ea7d	DT-71	Leo	Leo	Pitbull Mix	M	2007-03-01	0.00	NULL	019b6f8b-fc48-7fef-ba79-d77373ed06f4				1			Hund				1	0	
019b6fbf-c2b8-7a3b-bf8e-634441e5ad9f	DT-50	Queen von der Villa Kunterbunt	Queen	AC weisser Schäferhund	W	2010-06-05	0.00	NULL	019b6f8b-fc48-7336-8e51-657ac2e099af				NULL			Hund				1	0	
019b6fbf-c2b8-7a5e-b36f-e824e647d8ba	DT-99	Noah von Britho	Noah	Labrador	M	2008-12-25	0.00	NULL	019b6f8b-fc48-71cd-9378-c1569f7e0ed2			kurzhaar	0	schwarz		Hund	756095200119324			1	0	
